ground_truth_id,true_name,country,rating,review_date,posting_hour,review_length,avg_word_length,exclamation_count,day_of_week
R00000,Kevin Davis,US,2,2021-02-21,0,154,5.29,1,Sunday
R00000,Kevin Davis,US,2,2022-07-18,12,172,5.61,1,Monday
R00000,Kevin Davis,US,2,2022-05-17,2,206,5.41,2,Tuesday
R00000,Kevin Davis,US,2,2022-04-03,4,185,5.52,1,Sunday
R00000,Kevin Davis,US,2,2021-10-13,17,251,5.66,1,Wednesday
R00000,Kevin Davis,US,2,2021-07-29,3,97,5.82,1,Thursday
R00000,Kevin Davis,US,2,2024-01-22,2,193,5.76,2,Monday
R00000,Kevin Davis,US,2,2021-06-28,3,168,5.69,1,Monday
R00000,Kevin Davis,US,2,2024-04-24,2,118,5.83,2,Wednesday
R00000,Kevin Davis,US,2,2023-05-15,10,229,6.04,1,Monday
R00001,John Johnson,GB,4,2021-07-11,7,63,5.67,2,Sunday
R00001,John Johnson,GB,4,2022-03-24,9,43,5.22,0,Thursday
R00001,John Johnson,GB,4,2022-04-22,7,20,5.42,0,Friday
R00001,John Johnson,GB,4,2023-11-01,6,52,5.44,2,Wednesday
R00001,John Johnson,GB,4,2024-05-17,5,37,5.02,0,Friday
R00001,John Johnson,GB,4,2021-02-24,11,51,5.41,0,Wednesday
R00001,John Johnson,GB,4,2024-02-24,7,67,4.98,1,Saturday
R00001,John Johnson,GB,3,2022-02-12,9,78,5.74,1,Saturday
R00001,John Johnson,GB,4,2024-08-23,9,83,5.58,0,Friday
R00001,John Johnson,GB,3,2024-01-22,7,37,5.46,1,Monday
R00001,John Johnson,GB,3,2023-05-10,7,68,4.95,2,Wednesday
R00001,John Johnson,GB,4,2022-03-28,7,31,5.68,1,Monday
R00001,John Johnson,GB,4,2023-07-09,9,58,5.58,0,Sunday
R00001,John Johnson,GB,4,2024-04-21,6,85,5.46,1,Sunday
R00001,John Johnson,GB,3,2022-07-24,8,74,5.08,3,Sunday
R00002,Stephanie Smith,US,2,2021-11-23,18,98,4.87,0,Tuesday
R00002,Stephanie Smith,US,2,2023-05-16,21,105,4.8,0,Tuesday
R00002,Stephanie Smith,US,2,2022-11-28,20,108,5.0,2,Monday
R00002,Stephanie Smith,US,1,2022-07-24,22,65,5.26,1,Sunday
